date;channel_group;channel_name;value;type_id
2021-09-30T11:38:05;innenfeuchtigkeit;kueche;52.0;2
2021-09-30T11:38:15;speicher;mitte;55.9;1
2021-09-30T11:38:16;zirkulation;eg;26.8;1
2021-09-30T11:38:17;heizung;vl;27.9;1
2021-09-30T11:38:18;zirkulation;kueche;31.0;1
2021-09-30T11:38:19;heizung;rl;27.8;1
2021-09-30T11:38:20;speicher;unten;34.9;1
2021-09-30T11:38:21;speicher;oben;56.8;1
2021-09-30T11:38:22;heizung;ladung-rl;27.8;1
2021-09-30T11:38:23;zirkulation;og;31.1;1
2021-09-30T11:38:24;kollektor;vl;47.1;1
2021-09-30T11:38:25;zirkulation;warmwasser;52.9;1
2021-09-30T11:38:43;innentemperatur;heizraum;22.14;1
2021-09-30T11:38:43;innenfeuchtigkeit;heizraum;39.31;2
2021-09-30T11:38:43;co2konzentration;heizraum;521.0;3
2021-09-30T11:38:50;innentemperatur;heizraum2;21.9;1
2021-09-30T11:38:50;innenfeuchtigkeit;heizraum2;43.55;2
2021-09-30T11:38:50;luftqualitaet;heizraum;287.0;4
2021-09-30T11:38:50;luftdruck;heizraum;1027.15;4
2021-09-30T11:39:29;gaszaehler;heizraum;1495.0;6
2021-09-30T11:40:04;aussentemperatur;nord;11.6;1
2021-09-30T11:40:04;aussenfeuchtigkeit;nord;75.0;2
2021-09-30T11:40:04;innentemperatur;kueche;21.2;1
2021-09-30T11:40:04;innenfeuchtigkeit;kueche;52.0;2
2021-09-30T11:40:14;speicher;mitte;55.8;1
2021-09-30T11:40:15;zirkulation;eg;26.9;1
2021-09-30T11:40:17;heizung;vl;27.1;1
2021-09-30T11:40:18;zirkulation;kueche;30.2;1
2021-09-30T11:40:19;heizung;rl;27.1;1
2021-09-30T11:40:20;speicher;unten;35.1;1
2021-09-30T11:40:21;speicher;oben;57.2;1
2021-09-30T11:40:22;heizung;ladung-rl;27.2;1
2021-09-30T11:40:23;zirkulation;og;30.1;1
2021-09-30T11:40:24;kollektor;vl;47.8;1
2021-09-30T11:40:25;zirkulation;warmwasser;52.8;1
2021-09-30T11:40:42;innentemperatur;heizraum;22.14;1
2021-09-30T11:40:42;innenfeuchtigkeit;heizraum;39.66;2
2021-09-30T11:40:42;co2konzentration;heizraum;519.0;3
2021-09-30T11:40:50;innentemperatur;heizraum2;21.86;1
2021-09-30T11:40:50;innenfeuchtigkeit;heizraum2;44.08;2
2021-09-30T11:40:50;luftqualitaet;heizraum;245.0;4
2021-09-30T11:40:50;luftdruck;heizraum;1027.1799999999998;4
2021-09-30T11:41:30;gaszaehler;heizraum;1495.0;6
2021-09-30T11:42:05;aussentemperatur;nord;11.6;1
2021-09-30T11:42:05;aussenfeuchtigkeit;nord;75.0;2
2021-09-30T11:42:05;innentemperatur;kueche;21.2;1
2021-09-30T11:42:05;innenfeuchtigkeit;kueche;52.0;2
2021-09-30T11:42:15;speicher;mitte;55.8;1
2021-09-30T11:42:16;zirkulation;eg;27.0;1
2021-09-30T11:42:17;heizung;vl;26.9;1
2021-09-30T11:42:18;zirkulation;kueche;29.8;1
2021-09-30T11:42:19;heizung;rl;26.8;1
2021-09-30T11:42:20;speicher;unten;35.9;1
2021-09-30T11:42:21;speicher;oben;56.8;1
2021-09-30T11:42:22;heizung;ladung-rl;27.1;1
2021-09-30T11:42:23;zirkulation;og;30.1;1
2021-09-30T11:42:24;kollektor;vl;47.1;1
2021-09-30T11:42:25;zirkulation;warmwasser;51.8;1
2021-09-30T11:42:43;innentemperatur;heizraum;22.08;1
2021-09-30T11:42:43;innenfeuchtigkeit;heizraum;39.78;2
